"src(partition,col,END_COL,diameter=1000)","dest(partition,col,END_COL,diameter=1000)",network
"('1', 4, 5, 1000)","('1', 5, 6, 1000)",1
"('1', 7, 8, 1000)","('1', 6, 7, 1000)",1
"('1', 9, 10, 1000)","('1', 5, 6, 1000)",1
"('1', 11, 12, 1000)","('1', 13, 14, 1000)",1
"('1', 12, 13, 1000)","('1', 4, 5, 1000)",1
"('1', 15, 16, 1000)","('1', 5, 6, 1000)",1
"('1', 16, 17, 1000)","('1', 6, 7, 1000)",1
"('1', 18, 19, 1000)","('1', 5, 6, 1000)",1
"('1', 21, 22, 1000)","('1', 4, 5, 1000)",1
"('1', 24, 25, 1000)","('1', 11, 12, 1000)",2
"('1', 26, 27, 1000)","('1', 29, 30, 1000)",3
"('1', 27, 28, 1000)","('1', 5, 6, 1000)",3
"('1', 28, 29, 1000)","('1', 3, 4, 1000)",3
"('1', 29, 30, 1000)","('1', 15, 16, 1000)",3
"('1', 31, 32, 1000)","('1', 11, 12, 1000)",9
"('2', 0, 1, 1000)","('1', 25, 26, 1000)",3
"('2', 10, 11, 1000)","('2', 0, 1, 1000)",5
"('2', 11, 12, 1000)","('2', 0, 1, 1000)",5
"('2', 12, 13, 1000)","('12', 8, 9, 1000)",5
"('2', 13, 14, 1000)","('12', 8, 9, 1000)",5
"('2', 14, 15, 1000)","('12', 8, 9, 1000)",5
"('2', 15, 16, 1000)","('12', 8, 9, 1000)",5
"('2', 17, 18, 1000)","('2', 0, 1, 1000)",5
"('2', 18, 19, 1000)","('2', 0, 1, 1000)",5
"('2', 19, 20, 1000)","('2', 9, 10, 1000)",5
"('2', 20, 21, 1000)","('2', 0, 1, 1000)",5
"('2', 21, 22, 1000)","('2', 0, 1, 1000)",5
"('2', 23, 24, 1000)","('2', 25, 26, 1000)",8
"('2', 24, 25, 1000)","('3', 3, 4, 1000)",8
"('2', 26, 27, 1000)","('2', 9, 10, 1000)",8
"('2', 29, 30, 1000)","('2', 23, 24, 1000)",8
"('2', 32, 33, 1000)","('2', 9, 10, 1000)",8
"('2', 33, 34, 1000)","('2', 0, 1, 1000)",8
"('2', 34, 35, 1000)","('2', 0, 1, 1000)",9
"('2', 35, 36, 1000)","('2', 0, 1, 1000)",9
"('2', 36, 37, 1000)","('1', 3, 4, 1000)",9
"('2', 37, 38, 1000)","('2', 0, 1, 1000)",9
"('2', 38, 39, 1000)","('1', 30, 31, 1000)",9
"('2', 39, 40, 1000)","('1', 25, 26, 1000)",9
"('2', 40, 41, 1000)","('2', 0, 1, 1000)",9
"('2', 42, 43, 1000)","('2', 0, 1, 1000)",9
"('2', 43, 44, 1000)","('2', 10, 11, 1000)",9
"('2', 44, 45, 1000)","('2', 36, 37, 1000)",10
"('2', 45, 46, 1000)","('3', 11, 12, 1000)",10
"('2', 46, 47, 1000)","('13', 1, 2, 1000)",10
"('2', 47, 48, 1000)","('2', 0, 1, 1000)",10
"('2', 48, 49, 1000)","('2', 38, 39, 1000)",10
"('2', 49, 50, 1000)","('2', 23, 24, 1000)",10
"('2', 50, 51, 1000)","('3', 9, 10, 1000)",11
"('3', 2, 3, 1000)","('1', 9, 10, 1000)",1
"('3', 4, 5, 1000)","('3', 2, 3, 1000)",1
"('3', 6, 7, 1000)","('3', 5, 6, 1000)",2
"('3', 10, 11, 1000)","('3', 6, 7, 1000)",4
"('3', 18, 19, 1000)","('3', 12, 13, 1000)",5
"('3', 19, 20, 1000)","('3', 12, 13, 1000)",5
"('3', 21, 22, 1000)","('3', 19, 20, 1000)",5
"('3', 23, 24, 1000)","('3', 3, 4, 1000)",8
"('3', 25, 26, 1000)","('3', 10, 11, 1000)",11
"('7', 2, 3, 1000)","('7', 3, 4, 1000)",14
"('9', 1, 2, 1000)","('1', 24, 25, 1000)",2
"('9', 2, 3, 1000)","('1', 11, 12, 1000)",3
