"src(partition,col,END_COL,diameter=1000)","dest(partition,col,END_COL,diameter=1000)",network
"('1', 0, 1, 1000)","('1', 1, 2, 1000)",1
"('1', 1, 2, 1000)","('8', 0, 1, 1000)",1
"('1', 2, 3, 1000)","('1', 1, 2, 1000)",1
"('1', 4, 5, 1000)","('8', 0, 1, 1000)",1
"('1', 5, 6, 1000)","('1', 4, 5, 1000)",1
"('1', 6, 7, 1000)","('1', 1, 2, 1000)",1
"('1', 7, 8, 1000)","('8', 0, 1, 1000)",1
"('1', 8, 9, 1000)","('8', 0, 1, 1000)",1
"('1', 9, 10, 1000)","('8', 0, 1, 1000)",1
"('1', 10, 11, 1000)","('1', 9, 10, 1000)",1
"('1', 11, 12, 1000)","('1', 8, 9, 1000)",1
"('1', 13, 14, 1000)","('1', 1, 2, 1000)",1
"('1', 14, 15, 1000)","('1', 4, 5, 1000)",1
"('1', 15, 16, 1000)","('8', 0, 1, 1000)",1
"('1', 16, 17, 1000)","('1', 4, 5, 1000)",1
"('1', 17, 18, 1000)","('1', 6, 7, 1000)",1
"('1', 18, 19, 1000)","('1', 11, 12, 1000)",1
"('1', 19, 20, 1000)","('8', 0, 1, 1000)",1
"('1', 20, 21, 1000)","('8', 0, 1, 1000)",1
"('1', 21, 22, 1000)","('8', 0, 1, 1000)",1
"('1', 22, 23, 1000)","('1', 9, 10, 1000)",1
"('1', 23, 24, 1000)","('1', 1, 2, 1000)",1
"('1', 24, 25, 1000)","('1', 10, 11, 1000)",2
"('1', 25, 26, 1000)","('1', 24, 25, 1000)",2
"('1', 26, 27, 1000)","('1', 1, 2, 1000)",3
"('1', 27, 28, 1000)","('1', 9, 10, 1000)",3
"('1', 28, 29, 1000)","('1', 1, 2, 1000)",3
"('1', 29, 30, 1000)","('1', 6, 7, 1000)",3
"('1', 30, 31, 1000)","('1', 1, 2, 1000)",3
"('1', 31, 32, 1000)","('1', 14, 15, 1000)",3
"('1', 32, 33, 1000)","('1', 1, 2, 1000)",3
"('1', 33, 34, 1000)","('1', 25, 26, 1000)",4
"('1', 34, 35, 1000)","('1', 27, 28, 1000)",4
"('1', 35, 36, 1000)","('1', 25, 26, 1000)",4
"('1', 36, 37, 1000)","('1', 10, 11, 1000)",4
"('1', 37, 38, 1000)","('1', 29, 30, 1000)",8
"('1', 38, 39, 1000)","('1', 10, 11, 1000)",8
"('1', 39, 40, 1000)","('1', 1, 2, 1000)",9
"('1', 40, 41, 1000)","('1', 29, 30, 1000)",11
"('1', 41, 42, 1000)","('1', 9, 10, 1000)",12
"('3', 1, 2, 1000)","('16', 33, 34, 1000)",5
"('3', 2, 3, 1000)","('1', 33, 34, 1000)",11
"('3', 4, 5, 1000)","('16', 33, 34, 1000)",14
"('3', 5, 6, 1000)","('3', 1, 2, 1000)",14
"('4', 6, 7, 1000)","('4', 30, 31, 1000)",5
"('4', 14, 15, 1000)","('4', 5, 6, 1000)",9
"('4', 19, 20, 1000)","('4', 17, 18, 1000)",10
"('4', 21, 22, 1000)","('1', 38, 39, 1000)",10
"('4', 22, 23, 1000)","('4', 21, 22, 1000)",10
"('4', 24, 25, 1000)","('4', 5, 6, 1000)",10
"('4', 27, 28, 1000)","('4', 5, 6, 1000)",10
"('4', 28, 29, 1000)","('4', 17, 18, 1000)",10
"('4', 30, 31, 1000)","('4', 4, 5, 1000)",11
"('4', 31, 32, 1000)","('4', 8, 9, 1000)",14
"('4', 33, 34, 1000)","('4', 15, 16, 1000)",14
"('4', 34, 35, 1000)","('4', 21, 22, 1000)",14
"('8', 0, 1, 1000)","('1', 1, 2, 1000)",1
"('8', 3, 4, 1000)","('8', 0, 1, 1000)",1
"('8', 4, 5, 1000)","('8', 0, 1, 1000)",1
"('8', 5, 6, 1000)","('8', 0, 1, 1000)",1
"('8', 6, 7, 1000)","('1', 23, 24, 1000)",4
"('8', 9, 10, 1000)","('8', 17, 18, 1000)",5
"('8', 13, 14, 1000)","('8', 10, 11, 1000)",5
"('8', 15, 16, 1000)","('8', 12, 13, 1000)",5
"('8', 16, 17, 1000)","('8', 12, 13, 1000)",5
"('8', 18, 19, 1000)","('8', 0, 1, 1000)",5
"('8', 20, 21, 1000)","('8', 9, 10, 1000)",5
"('8', 21, 22, 1000)","('8', 9, 10, 1000)",5
"('8', 22, 23, 1000)","('8', 16, 17, 1000)",6
"('8', 23, 24, 1000)","('8', 0, 1, 1000)",6
"('8', 24, 25, 1000)","('8', 0, 1, 1000)",6
"('8', 25, 26, 1000)","('8', 22, 23, 1000)",6
"('8', 26, 27, 1000)","('8', 4, 5, 1000)",8
"('8', 27, 28, 1000)","('1', 9, 10, 1000)",8
"('8', 28, 29, 1000)","('8', 0, 1, 1000)",8
"('8', 29, 30, 1000)","('1', 23, 24, 1000)",8
"('8', 30, 31, 1000)","('8', 0, 1, 1000)",8
"('8', 31, 32, 1000)","('8', 0, 1, 1000)",8
"('8', 32, 33, 1000)","('8', 0, 1, 1000)",8
"('8', 33, 34, 1000)","('8', 0, 1, 1000)",9
"('8', 34, 35, 1000)","('1', 23, 24, 1000)",9
"('8', 35, 36, 1000)","('1', 23, 24, 1000)",11
"('8', 36, 37, 1000)","('8', 6, 7, 1000)",11
"('8', 37, 38, 1000)","('8', 0, 1, 1000)",12
"('8', 38, 39, 1000)","('8', 0, 1, 1000)",12
"('8', 39, 40, 1000)","('8', 0, 1, 1000)",12
"('8', 40, 41, 1000)","('8', 0, 1, 1000)",12
"('8', 41, 42, 1000)","('1', 1, 2, 1000)",12
"('8', 42, 43, 1000)","('8', 0, 1, 1000)",12
"('10', 4, 5, 1000)","('10', 3, 4, 1000)",13
"('10', 5, 6, 1000)","('16', 9, 10, 1000)",13
"('10', 7, 8, 1000)","('10', 2, 3, 1000)",14
"('10', 8, 9, 1000)","('16', 5, 6, 1000)",14
"('10', 9, 10, 1000)","('10', 2, 3, 1000)",14
"('11', 2, 3, 1000)","('11', 14, 15, 1000)",5
"('11', 13, 14, 1000)","('11', 8, 9, 1000)",5
"('11', 16, 17, 1000)","('11', 2, 3, 1000)",5
"('11', 17, 18, 1000)","('11', 2, 3, 1000)",5
"('11', 18, 19, 1000)","('11', 2, 3, 1000)",5
"('11', 20, 21, 1000)","('11', 2, 3, 1000)",5
"('11', 21, 22, 1000)","('11', 9, 10, 1000)",5
"('11', 22, 23, 1000)","('11', 8, 9, 1000)",5
"('11', 25, 26, 1000)","('1', 26, 27, 1000)",8
"('11', 27, 28, 1000)","('11', 28, 29, 1000)",8
"('11', 28, 29, 1000)","('11', 25, 26, 1000)",8
"('11', 29, 30, 1000)","('11', 7, 8, 1000)",8
"('11', 30, 31, 1000)","('11', 8, 9, 1000)",8
"('11', 31, 32, 1000)","('11', 32, 33, 1000)",8
"('11', 32, 33, 1000)","('11', 26, 27, 1000)",8
"('11', 35, 36, 1000)","('11', 7, 8, 1000)",8
"('11', 36, 37, 1000)","('1', 26, 27, 1000)",8
"('11', 37, 38, 1000)","('11', 8, 9, 1000)",9
"('11', 39, 40, 1000)","('1', 2, 3, 1000)",9
"('11', 42, 43, 1000)","('1', 26, 27, 1000)",9
"('11', 44, 45, 1000)","('11', 8, 9, 1000)",9
"('11', 46, 47, 1000)","('11', 9, 10, 1000)",9
"('11', 47, 48, 1000)","('11', 2, 3, 1000)",14
"('12', 12, 13, 1000)","('12', 14, 15, 1000)",5
"('16', 1, 2, 1000)","('8', 0, 1, 1000)",6
"('16', 3, 4, 1000)","('8', 9, 10, 1000)",7
"('16', 4, 5, 1000)","('8', 17, 18, 1000)",7
"('16', 5, 6, 1000)","('8', 17, 18, 1000)",7
"('16', 6, 7, 1000)","('8', 0, 1, 1000)",7
"('16', 8, 9, 1000)","('8', 0, 1, 1000)",7
"('16', 10, 11, 1000)","('16', 5, 6, 1000)",7
"('16', 11, 12, 1000)","('8', 17, 18, 1000)",7
